模拟测试资料，仅用于智能体测试，不具任何法律效力
项目,2023-12-31,2024-12-31,2025-12-31,2026-03-31,单位
货币资金,1400,1600,1800,1300,万元
应收票据,350,420,510,620,万元
应收账款,2600,3400,4100,4800,万元
预付款项,620,780,960,1100,万元
其他应收款,310,420,480,520,万元
存货,1900,2200,2600,3100,万元
其他流动资产,420,580,650,680,万元
流动资产合计,7600,9400,11100,12120,万元
固定资产净额,1450,1760,2050,2240,万元
其他非流动资产,550,840,950,1040,万元
资产总计,9600,12000,14100,15400,万元
短期借款,1800,2300,2700,3500,万元
应付票据,900,1200,1500,1900,万元
应付账款,1450,1900,2300,2600,万元
其他流动负债,1250,1620,2010,1560,万元
流动负债合计,5400,7020,8510,9560,万元
长期借款,0,500,800,800,万元
其他非流动负债,400,380,390,380,万元
负债合计,5800,7900,9700,10740,万元
所有者权益合计,3800,4100,4400,4660,万元
负债和所有者权益合计,9600,12000,14100,15400,万元
